Symbol,Company Name,Exchange,Country,
LTUS,"Lotus Pharmaceuticals, Inc.",PNK,USA,
NQST,"Nuquest, Inc.",PNK,USA,
QIA.F,QIAGEN NV,FRA,Germany,
GJH,Synthetic Fixed-Income Securiti,NYQ,USA,
PU7.BE,PULTEGROUP,BER,Germany,
B-U.TO,POWERSHARES LAD US 0 TO 5 YR CO,TOR,Canada,
IKSGY,Irkutsk Public Joint Stock Company of Energetics and Electrification,PNK,USA,
TREIT.BK,TICON FREEHOLD AND LEASEHOLD,SET,Thailand,
BRFH,Barfresh Food Group Inc,PNK,USA,
DALT,Dalton Industries Inc.,PNK,USA,
NGIND.BO,N.G. Industries Limited,BSE,India,
BR,"Broadridge Financial Solutions, Inc.",NYQ,USA,
OHRP,"Ohr Pharmaceutical, Inc.",NCM,Australia,
NOG,"Northern Oil and Gas, Inc.",ASE,USA,
ZDO.SG,"Zardoya Otis, S.A.",STU,Germany,
UGP,Ultrapar Holdings Inc.,NYQ,USA,
717213.TWO,YUANTA SECURITIES C/W 03/08/15(,TWO,Taiwan,
GD,General Dynamics Corporation,NYQ,USA,
XQB.BE,ALTRA INDUST MOTORS,BER,Germany,
P13.DU,PENN WEST PETE,DUS,Germany,
RSAIF,RSA Insurance Group plc,PNK,USA,
CMU,MFS High Yield Municipal Trust,NYQ,USA,
NVGNF,Novogen Limited,PNK,USA,
OCX,OncoCyte Corporation,ASE,USA,
NRCIA,National Research Corp.,NMS,USA,
WEG1.DE,Westgrund Aktiengesellschaft,GER,Germany,
0207-OL.HK,JOY CITY PPT,HKG,Hong Kong,
R2:FRIO3S.SA,METALFRIO SOLUTION,SAO,Brazil,
BURCA,"Burnham Holdings, Inc.",PNK,USA,
MELI,"Mercadolibre, Inc.",NMS,USA,
QC6.SG,CLAYTON WLMS EGY,STU,Germany,
SMKUY,Siam Makro Public Company Limited,PNK,USA,
MMS.AX,McMillan Shakespeare Ltd.,ASX,Australia,
DRX.TO,ADF Group Inc.,TOR,Canada,
FREFF,Frontier Rare Earths Limited,PNK,USA,
ASHM.L,Ashmore Group PLC,LSE,UK,
GAM-PB,General American Investors Comp,NYQ,USA,
LPKFF,LPKF Laser & Electronics AG,PNK,USA,
WWE,World Wrestling Entertainment Inc.,NYQ,USA,
ABRDF,ABERDEEN NEW THAI IN,PNK,USA,
CLH.DU,CARDINAL HEALTH,DUS,Germany,
BIM.PA,bioMérieux S.A.,PAR,France,
BNBI,"BullsnBears.com, Inc.",PNK,USA,
OLL.F,ORIENTAL LAND,FRA,Germany,
FNMA,Federal National Mortgage Association,OBB,USA,
086890.KQ,"ISU ABXIS Co., Ltd.",KOE,South Korea,
PMEA.L,PME African Infrastructure Opportunities PLC,LSE,UK,
NEWT.BR,Newtree S.A.,BRU,Belgium,
E7RA.MU,XEMPLAR ENERGY,MUN,Germany,
PUZ.MU,PONGS & ZAHN,MUN,Germany,
XCQ.F,CABOT OIL & GAS,FRA,Germany,
FNRG,ForceField Energy Inc.,NCM,Australia,
XRO.NZ,Xero Limited.,NZE,New Zealand,
DVG.V,Divergent Energy Services Corp.,VAN,Canada,
SIXD,"6D Global Technologies, Inc.",NCM,Australia,
T.MX,"AT&T;, Inc.",MEX,Mexico,
HINDZINC.NS,Hindustan Zinc Ltd.,NSI,India,
STRM,"Streamline Health Solutions, Inc.",NCM,Australia,
ETI.L,Enterprise Inns plc,LSE,UK,
BHU.DU,BAKER HUGHES INC,DUS,Germany,
FAR.TO,Foraco International SA,TOR,Canada,
UUICF,United Urban Investment Corporation,PNK,USA,
GSY.TO,goeasy Ltd.,TOR,Canada,
1198.HK,Royale Furniture Holdings Limited,HKG,Hong Kong,
RSLBF,RaySearch Laboratories AB (publ),PNK,USA,
BPISF,PIRAEUS BK SA,PNK,USA,
HCW.DU,WELLTOWER,DUS,Germany,
KDEEF,KILLDEER MINERALS,PNK,USA,
AEUA,Anadarko Petroleum Corporation,NYQ,USA,
FPF,First Trust Intermediate Duration Preferred & Income Fund,NYQ,USA,
CDZI,Cadiz Inc.,NGM,Sweden,
KAR.AX,Karoon Gas Australia Ltd.,ASX,Australia,
NEBUF,NEBU RES INC,PNK,USA,
LWE.F,LOWE'S COM,FRA,Germany,
PIM,Putnam Master Intermediate Income Trust,NYQ,USA,
XCD.F,CAFE DE CORAL HLDG,FRA,Germany,
13J.F,JM INVT & JM CN,FRA,Germany,
YAAA.SG,CDN TIRE CORP -A-,STU,Germany,
CEBTF,Citychamp Watch & Jewellery Group Limited,PNK,USA,
VCM.TO,Vecima Networks Inc.,TOR,Canada,
GLOP,GasLog Partners LP,NYQ,USA,
KGL.V,Kilo Goldmines Ltd.,VAN,Canada,
LILY34.SA,Eli Lilly and Company,SAO,Brazil,
718419.TWO,JIH SUN SECURITIES C/W 15/10/15,TWO,Taiwan,
3149.TW,G-TECH Optoelectronics Corporation,TAI,Taiwan,
BTA,BlackRock Long-Term Municipal Advantage Trust,NYQ,USA,
MXI.SG,MAXIM INTEGR PROD,STU,Germany,
6ZY.SG,"Zynerba Pharmaceuticals, Inc.",STU,Germany,
NIR.V,Noble Iron Inc.,VAN,Canada,
AFCO,American Farmland Company,ASE,USA,
RVRLF,Reservoir Minerals Inc.,PNK,USA,
RCKXF,"Rocky Mountain Dealerships, Inc.",PNK,USA,
SHBA.ST,SV HANDBK -A-,STO,Sweden,
SLVM,"Silverstar Resources, Inc.",PNK,USA,
THERF,Theratechnologies Inc.,PNK,USA,
ORAN,Orange,NYQ,USA,
718378.TWO,YUANTA SECURITIES C/W 14/10/15(,TWO,Taiwan,
ZCT1.SG,ZIMTU CAPITAL,STU,Germany,
716686.TWO,JIH SUN SECURITIES C/W 06/08/15,TWO,Taiwan,
WPH.SG,WDP,STU,Germany,
GTHR,GeneThera Inc.,PNK,USA,
QVQP3BF.SA,524 PARTICIPON      MB,SAO,Brazil,
XOM.BE,XOOM,BER,Germany,
0423.HK,Hong Kong Economic Times Holdings Limited,HKG,Hong Kong,
NZE.BE,ZEON ,BER,Germany,
PJXA.MU,PETROLEO BR SP ADR,MUN,Germany,
SRA.V,Stria Lithium Inc.,VAN,Canada,
MBI.SG,MITSUBISHI CORP,STU,Germany,
ULGX,"Urologix, Inc.",PNK,USA,
4V2.F,VN MFG & EXPORT PRO,FRA,Germany,
EBC-UN.TO,EUROPE BLUE CHIP DIV AND GROWTH,TOR,Canada,
INDF.JK,PT INDOFOOD SUKSES IDR100,JKT,Indonesia,
PSF.MI,Poligrafica San Faustino SpA,MIL,Italy,
NMSCA,Nutrition Management Services Company,PNK,USA,
EGBN,"Eagle Bancorp, Inc.",NCM,Australia,
3XN.BE,XINGYE COPPER INTL,BER,Germany,
0806.HK,Value Partners Group Ltd,HKG,Hong Kong,
ARWAW,Arowana Inc.,NCM,Australia,
BAKKA.OL,P/F Bakkafrost,OSL,Norway,
SZBXY,Snoozebox Holdings plc,PNK,USA,
SYNT,"Syntel, Inc.",NMS,USA,
0572-OL.HK,CH FOR YOU GP,HKG,Hong Kong,
RBMTF,Rambler Metals & Mining PLC,PNK,USA,
VNI.F,AVNET,FRA,Germany,
ETRM,EnteroMedics Inc.,NCM,Australia,
UFC.V,Urbanfund Corp.,VAN,Canada,
EENX,Energenx Inc,PNK,USA,
CPX.TO,Capital Power Corporation,TOR,Canada,
KRS.V,Kairos Capital Corporation,VAN,Canada,
2789.HK,Yuanda China Holdings Limited,HKG,Hong Kong,
TT.L,TUI TRAVEL,LSE,UK,
MXPT,"MaxPoint Interactive, Inc.",NYQ,USA,
MYI.L,Murray International Ord,LSE,UK,
QFC.BE,POPEYES LOUISIANA,BER,Germany,
OIL.DU,OWENS ILLINOIS,DUS,Germany,
DMD,"Demand Media, Inc.",NYQ,USA,
AYA.TO,"Amaya, Inc.",TOR,Canada,
YM2A.F,CODE AGRICUL,FRA,Germany,
THM,International Tower Hill Mines Ltd.,ASE,USA,
G0I.SI,Nam Lee Pressed Metal Industries Limited,SES,Singapore,
NENE,NEW ENERGY TECHNOLGS,PNK,USA,
AHHAP,Accredited Mortgage Loan REIT Trust,PNK,USA,
ETE,"Energy Transfer Equity, L.P.",NYQ,USA,
LMCA,Liberty Media Corporation,NMS,USA,
NWN.V,NWest Energy Corp.,VAN,Canada,
RRGYF,RockBridge Resources Inc,PNK,USA,
001065.KS,JW Pharmaceutical Corporation,KSC,Korea,
CL1A.MU,WANDA HOTEL DEV,MUN,Germany,
PSFT,Powersafe Technology Corp.,PNK,USA,
CPIX,"Cumberland Pharmaceuticals, Inc.",NMS,USA,
NNW.BE,NASPERS -N-,BER,Germany,
7014.KL,YLI Holdings Bhd,KLS,Malaysia,
RMP,Rice Midstream Partners LP Comm,NYQ,USA,
10248496.EX,JULIUS BAER GRP N,EUX,Germany,
SQNS,Sequans Communications S.A.,NYQ,USA,
SRSC,Sears Canada Inc.,NMS,USA,
222420.KQ,M-4 SPAC,KOE,South Korea,
RDLCF,Redline Communications Group Inc.,PNK,USA,
PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",NYQ,USA,
BYLK,Baylake Corp.,NCM,Australia,
SDPB,San Diego Private Bank,PNK,USA,
NYLE,NYLE INTL CORP,PNK,USA,
PFBC,Preferred Bank,NMS,USA,
DUT.MU,MOODY'S,MUN,Germany,
RQQ.F,OCEANAGOLD,FRA,Germany,
B2K.F,BELL EQUIPMENT,FRA,Germany,
0464.HK,Kenford Group Holdings Ltd.,HKG,Hong Kong,
IGR,CBRE Clarion Global Real Estate Income Fund,NYQ,USA,
5110.KL,Uoa Real Estate Investment,KLS,Malaysia,
25768974.SG,6.75 BANKCHINA NCP,STU,Germany,
6124.TWO,YEH-CHIANG TECHNOL TWD10,TWO,Taiwan,
CTBK,City Bank,PNK,USA,
HKGEF,Hong Kong Economic Times Holdings Limited,PNK,USA,
KRC.AX,King River Copper Limited,ASX,Australia,
RDC,Rowan Companies plc,NYQ,USA,
AATGF,"ATI Airtest Technologies, Inc.",PNK,USA,
SB3.F,SOFTBANK TECH,FRA,Germany,
DRIL.ST,Drillcon AB,STO,Sweden,
BWFG,"Bankwell Financial Group, Inc.",NGM,Sweden,
138508.L,JZ CAPITAL PAR GBP,LSE,UK,
HARL,Harleysville Savings Financial Corporation,PNK,USA,
AIB1.BE,ALLIED IRISH BANKS,BER,Germany,
DANSKE.CO,Danske Bank A/S,CPH,Denmark,
DRGN,CN Dragon Corporation,PNK,USA,
8418.TWO,JP NELSON HOLDINGS TWD10,TWO,Taiwan,
XOU.SG,SOHU.COM ,STU,Germany,
NISA.HM,NISSAN MOTOR CO LTD,HAM,Germany,
YDVL,Yadkin Valley Company,PNK,USA,
SNH,Senior Housing Properties Trust,NYQ,USA,
NXHD,Nexia Holdings Inc.,PNK,USA,
FTI.V,FTI Foodtech International Inc.,VAN,Canada,
NAP.V,NAPIER VENTURES INC,VAN,Canada,
CHS,Chico's FAS Inc.,NYQ,USA,
XTG.TO,Xtra-Gold Resources Corp.,TOR,Canada,
EFC,Ellington Financial LLC,NYQ,USA,
TR3.SG,TRINA SP ADS,STU,Germany,
MGHOF,MEGHMANI ORGANICS,PNK,USA,
DOM-UN.TO,Dominion Citrus Income Fund,TOR,Canada,
VIS.MC,VISCOFAN,MCE,Spain,
GKN.L,GKN plc,LSE,UK,
CBL,CBL & Associates Properties Inc.,NYQ,USA,
CBSH,"Commerce Bancshares, Inc.",NMS,USA,
CLV,Cliffs Natural Resources Inc.,NYQ,USA,
SFST,"Southern First Bancshares, Inc.",NGM,Sweden,
NAPA.OL,Napatech A/S,OSL,Norway,
KNBWY,"Kirin Holdings Company, Limited",PNK,USA,
WRCKF,WESC AB,PNK,USA,
WSO,Watsco Inc.,NYQ,USA,
GLMFF,"Glacier Media, Inc.",PNK,USA,
WCFB,Webster City Federal Bancorp,PNK,USA,
CBFA,CB Financial Corporation,PNK,USA,
SSTU,"Sandy Steele Unlimited, Inc.",PNK,USA,
03060X.TW,YUANTA SECURITIES C/W 22/02/16(,TAI,Taiwan,
SMTOY,Sumitomo Electric Industries Ltd.,PNK,USA,
XAE2.DE,Catalis SE,GER,Germany,
RWEOY,RWE AG,PNK,USA,
PCO,Pendrell Corporation,NMS,USA,
TBAKF,Ted Baker PLC,PNK,USA,
LINX3.SA,Linx S.A.,SAO,Brazil,
SMTG.L,Summit Germany Limited,LSE,UK,
NRS.OL,Norway Royal Salmon AS,OSL,Norway,
KSB3.HM,KSB VZ,HAM,Germany,
SIFI,SI Financial Group Inc.,NGM,Sweden,
AHS,AMN Healthcare Services Inc.,NYQ,USA,
CLE.F,CARLISLE COS,FRA,Germany,
RPHA.F,ANGLO AM PLATINUM,FRA,Germany,
AHN.MX,KON. AHOLD,MEX,Mexico,
722087.TWO,JIH SUN SECURITIES C/W 16/06/16,TWO,Taiwan,
17GK.L,Public Joint Stock Company MegaFon,LSE,UK,
DLAKY,Deutsche Lufthansa Aktiengesellschaft,PNK,USA,
FEIC,FEI Company,NMS,USA,
TST.TO,Telesta Therapeutics Inc.,TOR,Canada,
ET81.BE,AETERNA ZENTARIS,BER,Germany,
NML.AX,Navarre Minerals Limited,ASX,Australia,
W6O.F,WINTERMAR OFS,FRA,Germany,
TAYO,Taylor Consulting Inc.,OBB,USA,
AR.TO,Argonaut Gold Inc.,TOR,Canada,
QDI.MU,QUEST DIAGNOSTICS,MUN,Germany,
NWBN,New Resource Bank,PNK,USA,
1450.HK,Century Sage Scientific Holdings Limited,HKG,Hong Kong,
RTN.L,Restaurant Group plc,LSE,UK,
PFG.AX,Prime Financial Group Limited,ASX,Australia,
ONT.AX,1300SMILES Limited,ASX,Australia,
XNCR,"Xencor, Inc.",NGM,Sweden,
KSIX,"KSIX Media Holdings, Inc.",PNK,USA,
NGLS,Targa Resources Partners LP,NYQ,USA,
BWW.BE,BUFFALO WILD WINGS,BER,Germany,
PERI,Perion Network Ltd.,NMS,USA,
MIHIJAM.BO,MIHIJAM VANASPATI LTD.,BSE,India,
MTGE,American Capital Mortgage Investment Corp.,NMS,USA,
0435.HK,SUNLIGHT REIT,HKG,Hong Kong,
7050@OM.KL,WONG ENGINEERING CORPORATION,KLS,Malaysia,
XAND,"Xanadoo Company, LLC",PNK,USA,
MPVC,"Med Pro Venture Capital, Inc.",PNK,USA,
FNLPF,Fresnillo PLC,PNK,USA,
DFIFF,Diamond Fields International Ltd.,PNK,USA,
SDRC.L,Schroders plc,LSE,UK,
YIT.MU,YIT,MUN,Germany,
UPHOT.BO,UP Hotels Ltd.,BSE,India,
WAYN,Wayne Savings Bancshares Inc.,NGM,Sweden,
CSWC,Capital Southwest Corporation,NMS,USA,
PD.TO,Precision Drilling Corporation,TOR,Canada,
JUPITERIN.BO,JUPITER INFOMEDIA LTD.,BSE,India,
ALGN,Align Technology Inc.,NMS,USA,
3V64.MU,VISA-A,MUN,Germany,
FSI,Flexible Solutions International Inc.,ASE,USA,
GLUU,"Glu Mobile, Inc.",NMS,USA,
COVS,Covisint Corporation,NMS,USA,
HM-B.ST,HENNES&MAURITZ, -B-,STO,Sweden
FCU.TO,Fission Uranium Corp.,TOR,Canada,
SAN.PA,Sanofi,PAR,France,
6863.HK,China Huishan Dairy Holdings Company Limited,HKG,Hong Kong,
1803-OL.HK,ASR LOGISTICS,HKG,Hong Kong,
1109.HK,China Resources Land Limited,HKG,Hong Kong,
MDHI,"Medical Alarm Concepts Holding, Inc.",PNK,USA,
GEN,"Genesis Healthcare, Inc.",NYQ,USA,
717214.TWO,YUANTA SECURITIES C/W 03/08/15(,TWO,Taiwan,
JINDALSTE.NS,Jindal Steel & Power Ltd.,NSI,India,
OCTS-CRA19L1.SA,OCTANTE SEC A19 EJA,SAO,Brazil,
VLAP.VI,VALNEVA  PF,VIE,Austria,
CYBE,CyberOptics Corp.,NGM,Sweden,
FRPZW,FAIRPOINT COMM WT,PNK,USA,
BHK.V,BHK Mining Corp.,VAN,Canada,
FEO,First Trust/Aberdeen Emerging Opportunity Fund,NYQ,USA,
AVDX,"Avant Diagnostics, Inc.",OBB,USA,
PLZLY,Polyus Gold International Limited,PNK,USA,
WMTN,"WestMountain Gold, Inc.",OBB,USA,
CFU.L,Ceramic Fuel Cells Limited,LSE,UK,
BGX,Blackstone / GSO Long-Short Credit Income Fund,NYQ,USA,
KWN,"Kennedy-Wilson Holdings, Inc.",NYQ,USA,
065060.KQ,"GNCO Co., Ltd.",KOE,South Korea,
SHOW3F.SA,TIME FOR FUNON      NM,SAO,Brazil,
LFDEF,Urthecast Corp.,PNK,USA,
OPHI,"Organic Plant Health, Inc.",PNK,USA,
SAFRY,Safran SA,PNK,USA,
VCISF,VINCI S.A.,PNK,USA,
CHMI,Cherry Hill Mortgage Investment Corporation,NYQ,USA,
4533.TWO,SHIEH YIH MACHINER TWD10,TWO,Taiwan,
KGFHF,Kingfisher plc,PNK,USA,
SRGG,"Surge Global Energy, Inc.",PNK,USA,
DGICB,Donegal Group Inc.,NMS,USA,
XRM,Xerium Technologies Inc.,NYQ,USA,
SMO.DU,SUMITOMO EL IND,DUS,Germany,
TYUCF,TAIYO KAGAKU CO LTD,PNK,USA,
HKKIF,"Hitachi Koki Co., Ltd.",PNK,USA,
V7XN.BE,VUZIX,BER,Germany,
SWVK.DE,SolarWorld AG,GER,Germany,
OEM.BE,TOMTOM,BER,Germany,
MRKT,Markit Ltd.,NMS,USA,
RILY,"B. Riley Financial, Inc.",NCM,Australia,
ZSANMCOM.BO,SANMITRA COMMERCIAL LTD.,BSE,India,
QALB,"Qualibou Energy, Inc.",PNK,USA,
VSCJ.DU,4SC E15,DUS,Germany,
VIOSF,"Viosolar, Inc.",PNK,USA,
AEP.L,Anglo Eastern Plantations plc,LSE,UK,
IMAX,IMAX Corporation,NYQ,USA,
HOP.V,Telehop Communications Inc.,VAN,Canada,
GIVN.VX,GIVAUDAN N ,VTX,International,
NEE-PP,"NextEra Energy, Inc. EQUITY UNI",NYQ,USA,
5YG.MU,YINGDE GASES,MUN,Germany,
OSTKOQ-A,,ASX,Australia,
SSI,Stage Stores Inc.,NYQ,USA,
KND,Kindred Healthcare Inc.,NYQ,USA,
TFOXL,TWENTY FIRST CENTURY,PNK,USA,
SJ8.MU,SANRIO,MUN,Germany,
YORW,The York Water Company,NMS,USA,
I.TO,IntelliPharmaCeutics International Inc.,TOR,Canada,
GPP.AX,Greenpower Energy Limited,ASX,Australia,
EZH.MU,HOMEX SP ADR,MUN,Germany,
ILMN,Illumina Inc.,NMS,USA,
SOHMF,"Bolsas y Mercados Españoles, Sociedad Holding de Mercados y Sistemas Financieros, S.A.",PNK,USA,
ODHN.SW,ORASCOM DEVL HLDG N,EBS,Austria,
718064.TWO,YUANTA SECURITIES C/W 29/09/15(,TWO,Taiwan,
KLRF.BO,KLRF LTD.,BSE,India,
SAOA.SG,SASOL,STU,Germany,
UEPEO,Union Electric Company,PNK,USA,
NBPO.L,NEW BRITAIN,LSE,UK,
XAR.L,Xaar plc,LSE,UK,
CWGL,"Crimson Wine Group, Ltd.",PNK,USA,
YIZH.F,SINOPEC OILFIELD-H-,FRA,Germany,
PV6.F,PIERRE ET VACANCES,FRA,Germany,
XSSU5.AX,,ASX,Australia,
SOLV.OL,Solvang ASA,OSL,Norway,
BBEP,Breitburn Energy Partners LP,NMS,USA,
ND5.DU,NITTO DENKO CORP,DUS,Germany,
HCLP,Hi-Crush Partners LP,NYQ,USA,
TDO.AX,3D Oil Limited,ASX,Australia,
MLAAH.PA,Amatheon Agri Holding N.V.,PAR,France,
WMT,Wal-Mart Stores Inc.,NYQ,USA,
9TO.DU,TOYOTA TSUSHO,DUS,Germany,
TODAYS-EQ.NS,TODAYS WRITING INSTRUMENTS LIMI,NSI,India,
1249.HK,Tonly Electronics Holdings Limited,HKG,Hong Kong,
QEC.TO,Questerre Energy Corp.,TOR,Canada,
ZPARICIN.BO,Parichay Investments Limited,BSE,India,
MDGS,MediGus Ltd.,NCM,Australia,
RSMDF,ResMed Inc.,PNK,USA,
