LEGX,"LegacyXChange, Inc.",PNK,USA
722222.TWO,YUANTA SECURITIES C/W 28/07/16(,TWO,Taiwan
C52.SI,ComfortDelGro Corporation Limited,SES,Singapore
0827-OL.HK,KO YO GROUP,HKG,Hong Kong
NRTHF,Northern Power Systems Corp.,PNK,USA
MBRG,Middleburg Financial Corporation,NCM,Australia
HON,Honeywell International Inc.,NYQ,USA
VSN-PA.TO,VERESEN INC PREF SH SERIES A,TOR,Canada
ZUARIGLOB.BO,ZUARI GLOBAL LTD.,BSE,India
717747.TWO,YUANTA SECURITIES C/W 12/10/15(,TWO,Taiwan
GES,Guess' Inc.,NYQ,USA
PEGI,Pattern Energy Group Inc.,NMS,USA
OIIM,O2Micro International Ltd.,NMS,USA
WYGPF,WorleyParsons Limited,PNK,USA
WCM-B.TO,Wilmington Capital Management Inc.,TOR,Canada
1222-OL.HK,WANG ON GROUP,HKG,Hong Kong
EGLT,Egalet Corporation,NGM,Sweden
SAOA.BE,SASOL,BER,Germany
MHPSY,MHP S.A.,PNK,USA
AMC,"AMC Entertainment Holdings, Inc.",NYQ,USA
UFI,Unifi Inc.,NYQ,USA
JDWPF,J D Wetherspoon plc,PNK,USA
SLR.AX,Silver Lake Resources Limited,ASX,Australia
IGD.V,Intigold Mines Ltd.,VAN,Canada
CXN.MU,CANNABIS SCIEN,MUN,Germany
CMXC,Cell MedX Corp.,OBB,USA
MCO,Moody's Corporation,NYQ,USA
SGBLY,Standard Bank Group Limited,PNK,USA
LTBR,Lightbridge Corp.,NCM,Australia
CAE,CAE Inc.,NYQ,USA
AMEN,"AMEN Properties, Inc.",PNK,USA
MTA.SG,WAERTSILAE,STU,Germany
WCYN,West Canyon Energy Corp.,PNK,USA
OAKS-PA,Five Oaks Investment Corp. 8.75,NYQ,USA
KNO.AX,Knosys Limited,ASX,Australia
NDEPF,NEW WORLD DEPARTMENT,PNK,USA
JFEN1F.SA,"JOAO FORTES DO    4,00",SAO,Brazil
DEER,"Deer Consumer Products, Inc.",PNK,USA
1862-OL.HK,JINGRUI HLDGS,HKG,Hong Kong
8033-OL.HK,VODATEL NETWORK,HKG,Hong Kong
CP.TO,Canadian Pacific Railway Limited,TOR,Canada
SSBR3.SA,Sonae Sierra Brasil S.A.,SAO,Brazil
NIO.OL,Gaming Innovation Group Inc.,OSL,Norway
5371@OM.KL,KIM HIN INDUSTRY BHD,KLS,Malaysia
